date,rf,mkt_rf,smb,hml,mom
2019-04-08,0.00000814,0.00442487,0.00019934,0.00394049,-0.00394522
2019-04-10,0.00001429,0.00709421,-0.00458213,-0.00628718,0.00056283
2019-04-11,0.00000603,0.00472948,0.00166163,-0.00205491,-0.00677802
2019-04-14,0.00002196,0.00751687,-0.00595424,0.00182636,0.00059161
2019-04-15,0.00000760,-0.00035837,-0.00101841,0.00225102,0.00212508
2019-04-16,0.00000769,0.00490968,-0.00201135,0.00407033,0.00204883
2019-04-17,0.00000779,-0.00685618,-0.00042928,-0.00454878,0.00491634
2019-04-18,0.00000658,-0.00620817,0.00099951,0.00095141,-0.00090136
2019-04-21,0.00002401,0.00632340,-0.00226521,-0.00085053,0.00188561
2019-04-22,0.00000834,-0.00447988,0.00147528,-0.00081717,-0.00000185
2019-04-23,0.00000704,0.00633144,-0.00234688,-0.00014998,0.00669710
2019-04-24,0.00000714,0.00915549,-0.00072542,0.00034923,-0.00055726
2019-04-28,0.00002899,0.00746308,-0.00072599,0.00317261,-0.00734704
2019-04-29,0.00000616,-0.00543108,0.00432065,-0.00308308,0.00137178
2019-04-30,0.00000938,-0.01145973,0.00324566,-0.00047811,0.00036734
2019-05-01,0.00000953,-0.00127638,-0.00196895,0.00325701,0.00058979
2019-05-02,0.00000968,-0.00594245,-0.00952423,-0.00583808,-0.00363507
2019-05-05,0.00002952,0.00221025,0.00400302,0.01225935,-0.00341735
2019-05-06,0.00000984,-0.00925960,-0.00224302,0.00218409,-0.00234519
2019-05-07,0.00000984,0.00683695,-0.00325190,0.00033619,0.00525760
2019-05-12,0.00004920,-0.00862089,-0.00315011,-0.00117862,0.00664420
2019-05-13,0.00000814,-0.02161903,0.00411718,0.00207459,0.00133481
2019-05-14,0.00000824,0.01029623,-0.00130871,0.00258633,0.00274015
2019-05-15,0.00000834,-0.00783067,-0.00673207,-0.00204593,0.00158403
2019-05-16,0.00000844,0.01537545,-0.00267003,0.00404994,-0.00043949
2019-05-19,0.00002562,0.00082212,0.00215849,0.00465774,0.00576179
2019-05-20,0.00000760,-0.00616860,-0.00263712,0.00081076,0.01021846
2019-05-21,0.00000769,0.00872265,0.00260910,0.00222955,0.00895611
2019-05-22,0.00000779,0.00670562,-0.00296258,-0.00453218,0.00113039
2019-05-23,0.00000790,-0.01066369,0.00540420,-0.00192869,0.00237823
2019-05-26,0.00002401,0.00281032,-0.00156070,0.00540741,0.00512449
2019-05-27,0.00000834,-0.00284339,-0.00395428,-0.00171062,-0.00053945
2019-05-28,0.00000845,-0.00214594,-0.00860181,-0.00064854,0.00734912
2019-05-29,0.00000714,-0.01558796,0.00381072,0.00953793,0.01050393
2019-05-30,0.00000870,0.00487601,0.00173364,0.00354035,0.00418772
2019-06-02,0.00002206,-0.01433853,0.00176076,-0.00438981,0.00364721
2019-06-03,0.00000769,0.00379450,0.00392307,-0.00053252,0.00151232
2019-06-04,0.00000469,0.00894361,-0.00266027,-0.00160817,-0.00003454
2019-06-05,0.00000794,0.00223114,0.00374282,-0.00190129,0.00260444
2019-06-06,0.00000807,0.00015924,0.00770281,0.00211114,-0.00817153
2019-06-10,0.00003213,0.01300147,-0.00847885,0.00063795,0.00276678
2019-06-11,0.00000706,-0.00346762,-0.00151825,0.00254296,0.00263611
2019-06-12,0.00000715,-0.00708432,-0.00434817,-0.00295309,0.00264276
2019-06-13,0.00000723,0.00877437,0.00382550,-0.00314570,-0.00220488
2019-06-16,0.00002196,-0.00328352,0.00193881,-0.00198899,0.01002665
2019-06-17,0.00000760,-0.00497989,0.00084100,-0.00072426,0.00487855
2019-06-18,0.00000898,0.00837680,0.00278737,-0.00387563,-0.00271053
2019-06-19,0.00000909,0.00282741,0.00339550,0.00239835,-0.00344380
2019-06-20,0.00000921,0.00634758,-0.00432946,0.00532492,-0.00327592
2019-06-23,0.00002001,-0.00002966,0.00560715,0.00090935,-0.00002366
2019-06-24,0.00000973,0.00047195,-0.00320604,0.00203463,0.00387391
2019-06-25,0.00000704,-0.00384897,-0.00502802,0.00383247,0.00780441
2019-06-26,0.00000857,0.00425982,0.00120818,0.00250717,-0.00262142
2019-06-27,0.00000725,0.00298331,0.00069560,0.00130996,-0.00120964
2019-06-30,0.00002206,0.01208558,0.00255875,-0.00263178,-0.01638661
2019-07-01,0.00000769,-0.00152416,0.00506545,0.00078498,-0.00379750
2019-07-02,0.00000625,-0.00143240,0.00434415,0.00326819,0.00183442
